codcli;nombre;direccion;codpostal;codpue
11111;María Pinto;Av. Del Séneca;03014;03014
22222;Luis Salazar ;Calle de Francisco Lozano;03050;03050
33333;Juanita Robles;C. de Ferraz;28430;28430
44444;Klever Palma;C. de Altamirano;28320;28320
55555;Lucy Reyes;C. de Benito Gutierrez;28609;28609
66666;Anibal Guerrero;C. del Tutor;03014;03014
77777;Pedro Torres;C. de Quintana;03050;03050
88888;Mila Zambrano;C. del Rey Francisco;28430;28430
99999;Julio Rodríguez;C. de Juan Alvarez;28320;28320
11110;Carlos Villavicencio;Av. Del Séneca;28609;28609
22220;Juan Perez;C. del Tutor;03014;03014
33330;Rosa Vasquez;C. de Quintana;03050;03050
44440;Ana Pinto;C. del Rey Francisco;28430;28430
55550;Juan Travez;C. de Juan Alvarez;28320;28320
